"EngDispl","NumCyl","Transmission","FE","AirAspirationMethod","NumGears","TransLockup","TransCreeperGear","DriveDesc","IntakeValvePerCyl","ExhaustValvesPerCyl","CarlineClassDesc","VarValveTiming","VarValveLift"
4.7,8,"AM7",28.793,"NaturallyAspirated",7,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0
6.5,12,"S7",22.6242,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"2Seaters",1,0
4.8,10,"S6",21.9632,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0
6.2,8,"AM7",26.7967,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0
1.6,4,"S6",50.9588,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",52.5455,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"S6",49.6413,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",49.1607,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"S6",47.8871,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",50.0888,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"S6",47.8871,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",50.0888,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",46.4353,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,0
1.6,4,"M6",46.4353,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,0
3.4,6,"A7",41.347,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1
3.4,6,"M6",37.055,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1
5.9,12,"S6",25.3442,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",0,0
1.4,4,"A6",48.3,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,1
1.4,4,"M5",53.676,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,1
1.4,4,"A6",46,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,1
1.6,4,"S6",49.6413,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,1
1.6,4,"M6",49.1607,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,1
3.8,6,"A7",35.9964,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"MinicompactCars",1,1
3.8,6,"M6",34.7504,"NaturallyAspirated",6,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1
3.8,6,"A7",37.0769,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"MinicompactCars",1,1
3.8,6,"M6",34.3243,"NaturallyAspirated",6,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1
1.3,4,"AV",58.7,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,0
2.5,5,"M6",34.3,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"SubcompactCars",1,0
6,12,"S6",24.7,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SubcompactCars",1,0
1.8,4,"S6",50,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0
1.8,4,"M5",49,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0
3.5,6,"A7",39.4699,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0
6.2,8,"A7",26.6604,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0
3.5,6,"A7",39.4515,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0
1.6,4,"S6",49.6413,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,1
1.6,4,"M6",49.1607,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,1
5,8,"M6",30.62,"Supercharged",6,0,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0
2,4,"S6",41.7701,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0
2.5,5,"S6",39.0128,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0
4.4,8,"S8",33.9016,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0
4.4,8,"M6",31.1757,"Turbocharged",6,0,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0
4.4,8,"S8",33.9016,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0
4.4,8,"M6",31.1757,"Turbocharged",6,0,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0
1.8,4,"S6",50,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
1.8,4,"M5",49,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
2,4,"A6",57.6,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
1.8,4,"A5",58.0544,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,1
1.6,4,"AM6",55.9478,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
1.6,4,"M6",56.5,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
1.8,4,"A7",43.7543,"Turbocharged",7,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0
4.7,8,"A7",33.6744,"Turbocharged",7,1,0,"FourWheelDrive",2,2,"CompactCars",1,0
2,4,"AV",41.5661,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
2,4,"M6",44.708,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
2.5,5,"S6",41.8,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
3,6,"S8",37.5,"Supercharged",8,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0
3,6,"S8",37.4,"Supercharged",8,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0
3.5,6,"S7",45.3,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0
3.7,6,"S7",33.4,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,1
5.6,8,"S7",32.4,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,1
2,4,"S6",56.9,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",0,0
2,4,"M6",62.8,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",0,0
2.5,5,"S6",40.7869,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
2.5,5,"M5",42.9319,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
3.6,6,"S6",37.3,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
6.4,8,"A5",31.8,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"LargeCars",0,0
6.4,8,"A5",31.8,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"LargeCars",0,0
5,8,"Other",34,"NaturallyAspirated",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
5,8,"S6",31.0733,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,1
3,6,"A7",44.2415,"Turbocharged",7,1,0,"FourWheelDrive",2,2,"LargeCars",0,0
3,6,"Other",40.9035,"Supercharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,1
4.8,8,"A7",31.9791,"Turbocharged",7,1,0,"AllWheelDrive",2,2,"LargeCars",1,1
2.4,4,"S5",42,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,1
1.6,4,"A6",51.6,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0
2,4,"A6",49.4,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0
1.8,4,"AV",57.3284,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"Other",1,0
2.5,4,"A5",30.6,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",1,0
2.5,4,"M5",31.8,"NaturallyAspirated",5,0,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",1,0
4,6,"A5",27.5,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",1,0
4,6,"A5",26.6527,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SmallPickupTrucks4WD",1,0
4.8,8,"A6",22.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
6,8,"A6",21.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
4.8,8,"A6",22.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
6,8,"A6",21.5641,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
2,4,"A4",37.5,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"Other",0,0
2,4,"A4",37.2314,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"Other",0,0
2.4,4,"A6",45.1499,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
3.5,6,"A5",38.3,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,1
2.5,4,"A6",37.2735,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
3,6,"A6",31.6835,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
2.5,4,"AV",38.099,"NaturallyAspirated",1,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
3.5,6,"S6",31.4,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
3.5,6,"A5",36.3944,"NaturallyAspirated",5,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1
6.4,8,"A5",24.2,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",0,0
3.6,6,"A5",27.8,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
3.6,6,"M6",28.7,"NaturallyAspirated",6,0,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
